,id,name,position,dateOfBirth,age,nationality,currentClub,height,foot,joinedOn,signedFrom,marketValue,status,joined,contract
414,315110,Karl Toko Ekambi,Centre-Forward,"Sep 14, 1992",30,Cameroon,Al-Ettifaq FC,"1,82m",right,"Jan 30, 2023",Villarreal CF,€8.00m,,"Returned after loan spell with Stade Rennais FC; date: Jun 30, 2023; fee: End of loan",
415,748382,Amin Sarr,Centre-Forward,"Mar 11, 2001",22,Sweden,VfL Wolfsburg,"1,88m",right,"Jan 22, 2020",SC Heerenveen,€8.00m,,,
416,247915,Jonas Omlin,Goalkeeper,"Jan 10, 1994",29,Switzerland,Borussia Mönchengladbach,"1,90m",right,"Aug 15, 2020",FC Basel 1893,€9.00m,,,
417,127181,Benjamin Lecomte,Goalkeeper,"Apr 26, 1991",32,France,Montpellier HSC,"1,86m",left,"Jan 26, 2023",AS Monaco,€4.00m,,,
418,371816,Dimitry Bertaud,Goalkeeper,"Jun 6, 1998",25,DR Congo,Montpellier HSC,"1,80m",right,"Jul 1, 2017",Montpellier HSC B,€1.50m,,,
419,333175,Bingourou Kamara,Goalkeeper,"Oct 21, 1996",26,Senegal,Pau FC,"1,95m",right,"Sep 1, 2022",RC Strasbourg Alsace,€800k,,,
420,478346,Matis Carvalho,Goalkeeper,"Apr 28, 1999",24,Portugal,Le Puy Foot 43 Auvergne,"1,86m",left,"Jul 1, 2019",Toulouse FC B,€300k,,,
421,842341,Maxime Estève,Centre-Back,"May 26, 2002",21,France,Burnley FC,"1,93m",left,"Jul 1, 2021",Montpellier HSC B,€7.00m,,,
422,211637,Kiki Kouyaté,Centre-Back,"Apr 15, 1997",26,Mali,Montpellier HSC,"1,92m",right,"Jan 20, 2023",FC Metz,€5.00m,,,
423,201737,Christopher Jullien,Centre-Back,"Mar 22, 1993",30,France,Montpellier HSC,"1,96m",right,"Aug 23, 2022",Celtic FC,€3.50m,,,
424,47713,Mamadou Sakho,Centre-Back,"Feb 13, 1990",33,France,Without Club,"1,87m",left,"Jul 27, 2021",Crystal Palace,€2.50m,,,
425,72857,Pedro Mendes,Centre-Back,"Oct 1, 1990",32,Portugal,CF Estrela Amadora SAD,"1,86m",right,"Jul 18, 2017",Stade Rennais FC,€1.80m,,,
426,913669,Téo Allix,Centre-Back,"Jul 5, 2004",18,France,Montpellier HSC B,"1,83m",right,"Jul 1, 2022",,€150k,,,
427,913660,Redouane Halhal,Centre-Back,"Mar 5, 2003",20,Morocco,Atlético de Madrid B,"1,87m",right,"Jul 1, 2017",,€100k,,,
428,357072,Faitout Maouassa,Left-Back,"Jul 6, 1998",24,France,Granada CF,"1,70m",left,"Jan 31, 2023",Club Brugge KV,€6.00m,,,
429,485965,Nicolas Cozza,Left-Back,"Jan 8, 1999",24,France,FC Nantes,"1,78m",left,"Jul 1, 2022",Montpellier HSC U19,€3.50m,,,
430,220878,Issiaga Sylla,Left-Back,"Jan 1, 1994",29,Guinea,Montpellier HSC,"1,80m",left,"Sep 27, 2019",FC Toulouse,€2.50m,,,
431,537127,Théo Sainte-Luce,Left-Back,"Oct 20, 1998",24,France,Montpellier HSC,"1,76m",left,"Jul 1, 2023",Nîmes Olympique,€2.00m,,,
432,569374,Thibault Tamas,Left-Back,"Feb 20, 2001",22,France,Stade Briochin,"1,78m",left,"Jul 1, 2022",Montpellier HSC B,€150k,,,
433,364857,Falaye Sacko,Right-Back,"May 1, 1995",28,Mali,Montpellier HSC,"1,80m",right,"Aug 6, 2019",Vitória Guimarães SC,€4.00m,,"Joined from Vitória Guimarães SC; date: Jul 1, 2023; fee: €1.30m",
434,842338,Enzo Tchato,Right-Back,"Nov 23, 2002",20,Cameroon,Montpellier HSC,"1,82m",right,"Jan 2, 2019",Montpellier HSC B,€2.50m,,,
435,111058,Arnaud Souquet,Right-Back,"Feb 12, 1992",31,France,Chicago Fire FC,"1,79m",right,"Sep 25, 2019",KAA Gent,€2.00m,,,
436,294895,Mathías Suárez,Right-Back,"Jun 24, 1996",27,Uruguay,Barcelona SC Guayaquil,"1,82m",right,"Jul 1, 2019",Defensor Sporting Club,€300k,,,
437,743516,Ryan Tchato,Right-Back,"Sep 13, 2004",18,Cameroon,Montpellier HSC B,"1,83m",right,"Jul 1, 2022",,€150k,,,
438,624037,Joris Chotard,Defensive Midfield,"Sep 24, 2001",21,France,Montpellier HSC,"1,79m",right,"Jul 1, 2021",Montpellier HSC B,€9.00m,,,
439,118284,Jordan Ferri,Central Midfield,"Mar 12, 1992",31,France,Montpellier HSC,"1,73m",right,"Jul 2, 2019",: Ablöse €2.00m,€5.00m,,,
