,id,from,to,date,upcoming,season,marketValue,fee
0,406640,82,16,"Jul 3, 2023",False,23/24,€15.00m,€30.00m
1,406640,9265,82,"Jul 21, 2021",False,21/22,€450k,free transfer
2,406640,6930,9265,"Jul 1, 2018",False,18/19,,
3,406640,50678,6930,"Jul 1, 2017",False,17/18,,
0,106987,27,16,"Jul 24, 2023",False,23/24,€20.00m,€19.00m
1,106987,985,27,"Jun 30, 2023",False,22/23,€20.00m,End of loan
2,106987,27,985,"Jan 31, 2023",False,22/23,€20.00m,loan transfer
3,106987,23826,27,"Aug 30, 2021",False,21/22,€42.00m,€15.00m
4,106987,409,23826,"Jun 30, 2015",False,14/15,€4.00m,End of loan
5,106987,23826,409,"Jul 2, 2014",False,14/15,€2.00m,loan transfer
6,106987,170,23826,"Jul 1, 2014",False,14/15,€2.00m,€2.00m
7,106987,503,170,"Jan 4, 2013",False,12/13,€1.20m,€350k
8,106987,9699,503,"Jul 1, 2010",False,10/11,,
9,106987,42816,9699,"Jan 1, 2010",False,09/10,,
10,106987,42817,42816,"Jul 15, 2009",False,09/10,,free transfer
11,106987,30816,42817,"Feb 24, 2009",False,08/09,,?
12,106987,20451,30816,"Jul 1, 2008",False,08/09,,?
13,106987,48070,20451,"Aug 28, 2001",False,01/02,,?
0,405690,17,16,"Jul 1, 2023",False,23/24,€400k,
1,405690,143,17,"Jul 20, 2021",False,21/22,€100k,free transfer
2,405690,5343,143,"Jul 13, 2020",False,20/21,,
3,405690,21087,5343,"Jul 1, 2018",False,18/19,,
4,405690,12821,21087,"Jul 1, 2016",False,16/17,,
5,405690,17295,12821,"Jul 1, 2015",False,15/16,,free transfer
0,187492,15,16,"Jul 1, 2019",False,19/20,€50.00m,€25.00m
1,187492,5343,15,"Jan 1, 2014",False,13/14,,€500k
2,187492,21087,5343,"Jul 1, 2012",False,12/13,,
3,187492,18485,21087,"Jul 1, 2011",False,11/12,,free transfer
4,187492,42559,18485,"Jul 1, 2009",False,09/10,,free transfer
0,35207,18,16,"Jul 1, 2012",False,12/13,€20.00m,€17.10m
1,35207,50,18,"Jul 1, 2009",False,09/10,€1.00m,€1.00m
2,35207,7642,50,"Jul 1, 2008",False,08/09,€50k,
3,35207,24975,7642,"Jul 1, 2006",False,06/07,,
4,35207,21055,24975,"Jan 1, 2005",False,04/05,,free transfer
5,35207,11896,21055,"Jul 1, 2004",False,04/05,,
6,35207,42281,11896,"Jul 1, 1995",False,95/96,,free transfer
0,496094,409,16,"Jul 1, 2022",False,22/23,€35.00m,€30.00m
1,496094,37024,409,"Dec 31, 2019",False,19/20,€7.50m,End of loan
2,496094,409,37024,"Jul 2, 2018",False,18/19,€1.50m,loan transfer
3,496094,8207,409,"Jul 1, 2018",False,18/19,,€10.10m
